poll_id,question_id,state,seat_number,seat_name,office_type,pollster,sponsors,partisan,population,sample_size,start_date,end_date,hypothetical,stage,url,dem_candidate,dem_pct,rep_candidate,rep_pct,net_dem,is_partisan
137c2cec-0d62-5313-9713-581181f3024d,36f489ad-af13-4108-b6e3-96a641cb0344,AK,NA,NA,U.S. Senate,Alaska Survey Research,NA,NA,lv,1261,2023-04-21,2023-04-25,NA,general,https://mustreadalaska.com/new-poll-says-rep-mary-peltola-could-take-sen-dan-sullivan-in-2026/,Mary Peltola,44,Dan Sullivan,41,3,FALSE
20ef28e6-5dec-48e3-8573-f26aaf7b91c1,d9473e83-86e7-45b6-ab58-ba06c773cc04,AK,NA,NA,U.S. Senate,Data for Progress,NA,NA,lv,678,2025-07-21,2025-07-27,NA,general,https://www.dataforprogress.org/blog/2025/8/8/mary-peltola-would-be-front-runner-for-alaska-governor,Mary Peltola,45,Dan Sullivan,46,-1,FALSE
155a2fd2-d990-44fd-a147-09a14779f962,78cf6995-6e07-4374-8aae-812d29847477,AK,NA,NA,U.S. Senate,Alaska Survey Research,NA,NA,lv,1613,2025-07-29,2025-08-01,NA,general,https://www.documentcloud.org/documents/26071481-ak-sen-alaska-survey-research-d/,Mary Peltola,42.5,Dan Sullivan,46.7,-4.200000000000003,FALSE
6db448bf-8b33-4a4d-ad4d-d758aa373626,3543003a-90e9-415d-ba10-38f2be158ada,AK,NA,NA,U.S. Senate,Alaska Survey Research,NA,NA,lv,1708,2025-10-10,2025-10-15,NA,general,https://www.politico.com/newsletters/playbook/2025/10/21/a-nazi-streak-00616221,Mary Peltola,47.7,Dan Sullivan,45.9,1.8000000000000043,FALSE
2abdc064-3a16-4478-a841-23467c99f334,1d63253d-ed99-4ff5-8b14-5629aa6bc4e7,AK,NA,NA,U.S. Senate,Data for Progress,NA,NA,rv,823,2025-10-17,2025-10-23,NA,general,https://www.dataforprogress.org/blog/2025/10/31/in-the-midst-of-a-health-care-and-affordability-crisis-in-alaska-peltola-and-begich-lead-their-races,Mary Peltola,46,Dan Sullivan,45,1,FALSE
4d33f950-ca95-4b26-b961-c02b133cbfcd,9553cd7d-9a51-4a84-8679-ca0ed97d0468,AK,NA,NA,U.S. Senate,The Tyson Group,Plymouth Union Public Advocacy,NA,lv,600,2025-11-11,2025-11-13,NA,general,https://pup-advocacy.com/news/polling-memo/voting-to-extend-the-premium-tax-credits-could-boost-sullivan-in-tight-senate-race/,Generic Democrat,43,Dan Sullivan,39,4,FALSE
738d7b99-da3b-4c01-8c34-1ad6bd19e307,cd2c0ee5-0f84-4ba8-9910-ee384c6cf4c4,AK,NA,NA,U.S. Senate,Alaska Survey Research,NA,NA,lv,1681,2026-01-08,2026-01-11,NA,general,https://x.com/The_Real_ASR/status/2011266752693616932,Mary Peltola,48,Dan Sullivan,46.4,1.6000000000000014,FALSE
02747cb8-c9f8-4c09-b283-67fcf0ec90b0,0b89445f-5182-43eb-9b9d-9e803fb08d93,AK,NA,NA,U.S. Senate,Public Policy Polling,DSCC,DEM,rv,611,2026-01-16,2026-01-17,NA,general,https://www.politico.com/newsletters/playbook/2026/01/21/what-davos-really-thinks-of-trump-00738555?nname=playbook&nid=0000014f-1646-d88f-a1cf-5f46b7bd0000&nrid=4d735b47-a8a7-41f4-9c35-277919f359ed,Mary Peltola,49,Dan Sullivan,47,2,TRUE
e8d83b3b-cf66-4eb1-a16d-49e053bc3698,4fbeb64f-fbf1-4985-bbe8-35029cadcc44,AK,NA,NA,U.S. Senate,Alaska Survey Research,NA,NA,rv,1340,2026-03-19,2026-03-22,NA,general,https://bsky.app/profile/alaskasurvey.bsky.social/post/3mi5sviz72222,Mary Peltola,48.8,Dan Sullivan,43.5,5.299999999999997,FALSE
e8d83b3b-cf66-4eb1-a16d-49e053bc3698,64909d04-6ca7-4fc0-b519-a8927485e3d6,AK,NA,NA,U.S. Senate,Alaska Survey Research,NA,NA,rv,1340,2026-03-19,2026-03-22,NA,general,https://bsky.app/profile/alaskasurvey.bsky.social/post/3mi5sviz72222,Mary Peltola,52.4,Dan Sullivan,47.6,4.799999999999997,FALSE
