State,tariffedValue,TotalValue,tariffedPercent
Ohio,3127760793,25591344972,12.22
Illinois,2751488061,24349643961,11.3
Pennsylvania,2323167484,14207893189,16.35
California,1836901930,17280904408,10.63
New York,1835427841,25236784229,7.27
Michigan,1814197948,31101507948,5.83
Wisconsin,1805951850,10673917328,16.92
Indiana,1789273646,17570525136,10.18
Texas,1583842328,39139737653,4.05
Georgia,1218455935,7535878953,16.17
Kentucky,956385540,12456825314,7.68
North Carolina,885600537,10765575270,8.23
Tennessee,803146851,7998819255,10.04
"Washington, State",759619735,9153674241,8.3
Minnesota,746619720,9527202440,7.84
New Jersey,718488787,6278997760,11.44
Iowa,622271512,6523545377,9.54
Alabama,604473554,5917303563,10.22
Virginia,407088807,3550629396,11.47
South Carolina,400121163,4830250995,8.28
Oklahoma,385821408,2326747396,16.58
Missouri,362206424,8575074094,4.22
Arkansas,329631766,1633245411,20.18
Oregon,327585969,3101170013,10.56
Florida,312334739,5404083701,5.78
Massachusetts,288816075,3989062791,7.24
Kansas,261503544,3176481124,8.23
Connecticut,219567613,2972348557,7.39
Maine,219030165,1849931713,11.84
Utah,205087687,2170941835,9.45
West Virginia,200144936,3050614982,6.56
Mississippi,179054036,1581714631,11.32
Colorado,175680891,2116236848,8.3
Maryland,157758499,1311001549,12.03
Nebraska,145826310,2143018149,6.8
Vermont,142670996,860579753,16.58
Arizona,136450842,2814702037,4.85
Idaho,106549769,2614199178,4.08
South Dakota,95639382,1207764934,7.92
Nevada,94835592,1818327033,5.22
New Hampshire,88496120,945668540,9.36
Louisiana,70403672,4253686457,1.66
Wyoming,63815334,543986547,11.73
North Dakota,49386305,5639045287,0.88
Unknown states,40352496,913762941,4.42
Rhode Island,23810199,840854001,2.83
Montana,22783768,1299346651,1.75
New Mexico,20568171,204181991,10.07
Delaware,18593861,476010333,3.91
Puerto Rico,8107202,1299393861,0.62
Alaska,4571434,916081022,0.5
Hawaii,539242,28271634,1.91
U.S. Virgin Islands,369828,2127174,17.39
District of Columbia,86039,21227506,0.41
